var1,var2,chi2,p_value,dof,cramers_v
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,463.1189,0.8033,490,0.5586
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,111.9721,0.9609,140,0.5139
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,3466.6333,0.3268,3430,0.9712
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,434.894,0.9983,525,0.523
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,73.9346,0.351,70,0.5905
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,65.4136,0.633,70,0.5555
men_who_report_sexual_abuse_are_not_taken_seriously,fear_of_social_judgment_stops_male_victims_from_coming_forward,148.4525,0.0,12,0.6833
men_who_report_sexual_abuse_are_not_taken_seriously,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,132.6841,0.0,16,0.5594
men_who_report_sexual_abuse_are_not_taken_seriously,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,16.9418,0.3894,16,0.1999
men_who_report_sexual_abuse_are_not_taken_seriously,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,80.6965,0.0,16,0.4363
