,coef
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, ",0.6368
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, Assault",-0.1615
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, Stalking",-0.1042
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, Stalking, Assault",-0.0747
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Stalking,0.0015
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media,-0.1268
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Personal Experience (Self or Someone Close)",-0.0281
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Personal Experience (Self or Someone Close), Others",-0.055
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media",0.0614
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Movies/TV Shows",-0.2465
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Movies/TV Shows, Others",-0.1636
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Others",0.2388
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close)",-0.1937
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close), Movies/TV Shows",-0.0728
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close), Movies/TV Shows, Others",-0.0598
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close), Others",-0.0175
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Others,-0.0018
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Personal Experience (Self or Someone Close),-0.1241
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Personal Experience (Self or Someone Close), Movies/TV Shows",-0.0145
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media,-0.6154
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Movies/TV Shows",0.6004
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Personal Experience (Self or Someone Close)",-0.1059
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Personal Experience (Self or Someone Close), Movies/TV Shows",-0.0562
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india_Not Sure,0.0344
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india_Yes,-0.4391
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Authority figures (Teachers, Employers, Police, etc.), Others",-0.1065
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.2254
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members,-0.1131
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Authority figures (Teachers, Employers, Police, etc.)",-0.1088
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.1109
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances",0.1011
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Authority figures (Teachers, Employers, Police, etc.)",-0.0255
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.01
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships, Others",-0.0175
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers",-0.0814
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.)",-0.0167
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",0.2539
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers, Others",-0.0075
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers",-0.0379
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Authority figures (Teachers, Employers, Police, etc.)",0.3855
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.0487
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships, Others",-0.0112
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Women in intimate relationships",-0.0269
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Women in intimate relationships",-0.0732
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances,-0.2052
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.0305
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Others",-0.0179
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers",-0.0534
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.)",-0.103
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.0345
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers, Women in intimate relationships",-0.0107
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Women in intimate relationships",0.3325
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Women in intimate relationships, Others",-0.026
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Others,0.4419
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers,-0.2602
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Authority figures (Teachers, Employers, Police, etc.)",0.2181
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.0468
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Women in intimate relationships",-0.1734
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Women in intimate relationships, Others",-0.067
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Women in intimate relationships,0.0683
men_who_report_sexual_abuse_are_not_taken_seriously_Disagree,0.2387
men_who_report_sexual_abuse_are_not_taken_seriously_Neutral,0.0355
men_who_report_sexual_abuse_are_not_taken_seriously_Strongly agree,-0.2421
men_who_report_sexual_abuse_are_not_taken_seriously_Strongly disagree,-0.0907
fear_of_social_judgment_stops_male_victims_from_coming_forward_Neutral,0.0085
fear_of_social_judgment_stops_male_victims_from_coming_forward_Strongly agree,-0.2341
fear_of_social_judgment_stops_male_victims_from_coming_forward_Strongly disagree,-0.0907
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Disagree,-0.2529
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Neutral,0.1229
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Strongly agree,-0.2515
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Strongly disagree,-0.0907
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Disagree,-0.1698
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Neutral,-0.2379
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Strongly agree,0.155
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Strongly disagree,-0.2087
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Disagree,-0.1865
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Neutral,0.5173
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Strongly agree,-0.0544
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Strongly disagree,-0.0185
are_you_aware_of_any_legal_protections_for_male_victims_in_india_Not sure,-0.2051
are_you_aware_of_any_legal_protections_for_male_victims_in_india_Yes,-0.2184
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Disagree,-0.1803
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Neutral,0.0957
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Strongly agree,0.2899
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Strongly disagree,-0.03
do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws_Not sure,-0.1923
do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws_Yes,-0.4293
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Fear of being mocked or disbelieved, ",-0.0343
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection,-0.2498
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Fear of being mocked or disbelieved",-0.2256
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Fear of being mocked or disbelieved",-0.0181
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Social stigma & shame",-0.0766
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved",-0.2724
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved, The media too does not play an active role in discussing these issues.",-0.046
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Social stigma & shame",0.3502
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Social stigma & shame, Fear of being mocked or disbelieved",0.0292
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases,0.3239
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases, Social stigma & shame",0.1149
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved",-0.1826
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Social stigma & shame,-0.1272
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Social stigma & shame, Fear of being mocked or disbelieved",-0.4847
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Disagree,-0.7194
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Neutral,1.1921
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Strongly agree,-0.0128
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Strongly disagree,-0.4624
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_

 Gender-neutral laws for sexual offences.
",-0.0792
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_
1. Gender-Neutral Laws – Many legal definitions of sexual violence and domestic abuse are framed around female victims. Laws should be gender-neutral to acknowledge that men can also be victims.
2. Improved Reporting and Investigation Procedures – Male survivors often face stigma when reporting crimes. Law enforcement and legal systems should undergo training to handle male victim cases without bias or disbelief.
3. Access to Support Services – Government funding should be allocated to shelters, counseling, and legal aid specifically for male survivors, similar to what exists for female survivors.
4. Stronger Protection Against False Accusations – While false accusations are rare, men accused of crimes like domestic violence or sexual assault often face severe consequences. Legal processes should ensure fair investigations before taking punitive actions
5. Equal Parental Rights in Family Courts – Family courts often favor mothers in custody cases, assuming men are perpetrators rather than victims of domestic abuse. Legal reforms should ensure fair treatment of fathers, especially those who are survivors of abuse.
6. Prison Reform – Male prisoners are at high risk of sexual violence, yet laws protecting them are often weakly enforced. Stronger measures should be in place to prevent and address sexual violence in prisons.
7. Education and Awareness Campaigns – Laws alone aren’t enough. Public campaigns should challenge societal stereotypes that men cannot be victims and encourage male survivors to seek justice without shame.",-0.1636
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_**Legal reforms needed to support male survivors (in short):**

1. **Gender-neutral laws** for sexual and domestic violence.
2. **Equal access** to survivor support services.
3. **Trauma-informed training** for police and judiciary.
4. **Confidentiality protections** to reduce stigma.
5. **Extended reporting time** for abuse cases.
6. **Improved prison protections** for male victims.
7. **Fair treatment** in family and custody law.
8. **Awareness campaigns** to challenge bias and encourage reporting.",-0.0914
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_.,-0.1881
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_1. Keep survivors names and stories private.
2. Have clear rules for reporting and investigating crimes.
3. Provide help and support for survivors.
4. Make laws stronger to stop abuse and punish offenders.
5. Educate people about the issue.
6. Stop unfair treatment and negative attitudes towards survivors.
",-0.0198
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_1. Policy changes 
2. Gender Neutral Laws 
3. Awareness in Law enforcement agencies ",-0.0099
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_1.Access to legal protections and support 
2.confidentiality and privacy protections
3.Reducing social and cultural stigma
4.expanding support services ",-0.0091
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_According to modern period changes,-0.0604
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_All the initially created laws were for the benefit for both men and women. Whatever changes were made by amendments and enactment of new laws that favour for both men and women.,-0.0255
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Assailant should be should be sentenced death penalty ,-0.0735
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Awareness and emotional support. ,-0.0558
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Being aware,-0.0389
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Better laws for empowering women,-0.0147
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Breaking social stigma, social sensitization",-0.0073
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Campaign, programs ",-0.0446
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Can be more efficient towards the situation of that particular individual,0.3966
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Don't know ,0.24
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Dont know,-0.0343
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Equal law and order should be implement for both men and women against sexual abuse ,-0.0266
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Equal laws and rights against sexual abuse for males should be stringent in India. ,-0.0124
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender Neutral Anti Abuse Laws,-0.0167
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender Neutral Law,0.3516
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender inclusive legal definitions,-0.0294
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral justice ,-0.0408
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws,-0.1997
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws , awareness programs etc ",-0.01
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws can help and proper investigation should be emphasised irrespective of the gender of the victim.,-0.0391
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws should be framed and implemented all over the country and campaigns along with initiatives shall be launched to curb incidents like these.,-0.046
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws with equivalent punishments,-0.026
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws, awareness regarding male abuse",-0.0106
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws, social services and awareness programs.",-0.0046
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral sexual abuse laws should be implemented ,-0.1404
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutrality in CJS,-0.0046
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Give equal rights to everyone ,-0.1065
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Give them ample support and this type of heinous act should be punishable no matter who the victim are be it men or women,-0.0338
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Got v less to do with legal reforms. It has more to do with legal practices and judicial attitude towards the victims/survivors,-0.0086
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Government funding for shelters, counseling, and victim support should be explicitly available to male survivors.
Laws should mandate that service providers accommodate male victims without stigma or dismissal.",-0.0113
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Government funding for survivor services that prioritise both men and women equally ,-0.0467
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Government should implement new laws related to the sexual crime, society and media also need to consider male victims as a victim of sexual abuse should not criticize them for that.",-0.0064
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Helplines and counseling services,-0.0259
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_I have no idea ,-0.0089
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Implement gender-neutral sexual assault laws, improve reporting mechanisms, and provide specialized support for male survivors.",-0.0691
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Increasing funding for support services,-0.0128
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_India needs gender-neutral sexual assault laws, legal recognition of male victims, dedicated support systems, and stronger enforcement of existing provisions. Expanding POCSO-like protections to adult males and ensuring fair reporting mechanisms without stigma are crucial reforms.",-0.0217
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Laws and protection should be given to both the genders equally,-0.0096
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Laws should be gender neutral ,-0.0402
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal action ,-0.0722
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal frameworks should be made gender-neutral for male victims, with confidential reporting and counseling services available to them.
Law enforcement agencies should receive sensitivity training to ensure that men's cases are taken seriously.",-0.0182
