,coef
"please_specify_your_native_place_Guwahati, Assam ",0.0734
"please_specify_your_native_place_Guwahati, Hengerabari ",-0.3033
please_specify_your_native_place_Hamirpur Uttar Pradesh ,0.1002
please_specify_your_native_place_Haryana ,-0.1345
please_specify_your_native_place_Howrah,-0.1773
please_specify_your_native_place_Hyderabad ,-0.29
please_specify_your_native_place_India,-0.1962
please_specify_your_native_place_Jabalpur ,-0.1586
please_specify_your_native_place_Kanpur ,0.1233
"please_specify_your_native_place_Kanpur, Uttar Pradesh",0.0808
please_specify_your_native_place_Kaushambi UP,0.281
please_specify_your_native_place_Kerala,0.2525
please_specify_your_native_place_Kolkata,0.2942
please_specify_your_native_place_Kolkata (Home),0.1438
please_specify_your_native_place_Ludhiana punjab,-0.1719
please_specify_your_native_place_Maligaon,0.0829
please_specify_your_native_place_Maligaon ,-0.1752
"please_specify_your_native_place_Mangaldai, Assam",0.5034
"please_specify_your_native_place_Mangaldoi,Darrang",-0.1907
please_specify_your_native_place_Near WTP malviya nagar ,0.0899
please_specify_your_native_place_New Ashok Nagar,0.1034
please_specify_your_native_place_North ghy ,-0.3002
please_specify_your_native_place_Pub Boragaon ,-0.3456
"please_specify_your_native_place_Pune, Maharashtra ",-0.0598
"please_specify_your_native_place_Shillong, Meghalaya",-0.0804
please_specify_your_native_place_Siliguri,-0.0325
please_specify_your_native_place_Tinsukia ,0.0732
please_specify_your_native_place_Udaipur ,0.2374
please_specify_your_native_place_Uttrakhand ,0.5056
please_specify_your_native_place_Yamuna vihar ,0.1513
please_specify_your_native_place_assam,-0.0526
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment,0.3641
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Assault",0.2633
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Assault, Rape, domestic abuse",-0.1773
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct",0.6873
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Assault",-0.0965
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Stalking",-0.1317
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Stalking, Assault",0.0664
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Stalking, Assault, ",0.2241
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Stalking",-0.5656
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Stalking, Assault",-0.4623
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct,-0.1843
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, ",-0.4407
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, Assault",0.316
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, Stalking",0.202
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, Stalking, Assault",0.4806
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Stalking,-0.5234
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media,-0.2432
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Personal Experience (Self or Someone Close)",0.1131
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Personal Experience (Self or Someone Close), Others",0.1795
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media",0.4566
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Movies/TV Shows",-0.1378
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Movies/TV Shows, Others",0.0899
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Others",-0.1162
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close)",0.2657
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close), Movies/TV Shows",-0.131
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close), Movies/TV Shows, Others",0.4761
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close), Others",0.1136
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Others,0.1733
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Personal Experience (Self or Someone Close),0.076
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Personal Experience (Self or Someone Close), Movies/TV Shows",-0.1719
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media,-0.1181
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Movies/TV Shows",-0.935
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Personal Experience (Self or Someone Close)",0.0514
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Personal Experience (Self or Someone Close), Movies/TV Shows",0.5045
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india_Not Sure,0.1811
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india_Yes,0.4894
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Authority figures (Teachers, Employers, Police, etc.), Others",0.1206
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.0018
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members,0.1387
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Authority figures (Teachers, Employers, Police, etc.)",0.2657
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.8146
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances",-0.2341
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Authority figures (Teachers, Employers, Police, etc.)",-0.3002
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.2386
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships, Others",0.1136
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers",0.2289
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.)",0.1438
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.1656
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers, Others",0.1442
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers",-0.2933
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Authority figures (Teachers, Employers, Police, etc.)",-0.0381
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",0.2188
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships, Others",0.0808
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Women in intimate relationships",-0.075
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Women in intimate relationships",0.0015
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances,0.3982
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",0.5056
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Others",0.2196
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers",0.0543
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.)",-0.4305
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",0.1503
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers, Women in intimate relationships",0.0719
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Women in intimate relationships",0.4337
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Women in intimate relationships, Others",0.2051
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Others,0.0249
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers,-0.2589
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Authority figures (Teachers, Employers, Police, etc.)",-0.0218
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",0.3173
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Women in intimate relationships",-0.2832
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Women in intimate relationships, Others",-0.1164
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Women in intimate relationships,0.3623
men_who_report_sexual_abuse_are_not_taken_seriously_Disagree,-0.2001
men_who_report_sexual_abuse_are_not_taken_seriously_Neutral,-0.2294
men_who_report_sexual_abuse_are_not_taken_seriously_Strongly agree,-0.1857
men_who_report_sexual_abuse_are_not_taken_seriously_Strongly disagree,-0.1123
fear_of_social_judgment_stops_male_victims_from_coming_forward_Neutral,0.04
fear_of_social_judgment_stops_male_victims_from_coming_forward_Strongly agree,0.1668
fear_of_social_judgment_stops_male_victims_from_coming_forward_Strongly disagree,-0.1123
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Disagree,-0.6599
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Neutral,0.169
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Strongly agree,-0.0782
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Strongly disagree,-0.1123
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Disagree,0.0395
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Neutral,0.2079
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Strongly agree,0.15
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Strongly disagree,-0.446
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Disagree,-0.0537
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Neutral,-0.3969
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Strongly agree,0.8516
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Strongly disagree,-0.2763
are_you_aware_of_any_legal_protections_for_male_victims_in_india_Not sure,-0.346
are_you_aware_of_any_legal_protections_for_male_victims_in_india_Yes,-0.0752
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Disagree,0.0626
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Neutral,-0.5236
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Strongly agree,-0.2377
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Strongly disagree,-0.417
do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws_Not sure,0.0432
do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws_Yes,0.0405
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Fear of being mocked or disbelieved, ",0.1123
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection,0.7572
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Fear of being mocked or disbelieved",-0.8606
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Fear of being mocked or disbelieved",0.1637
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Social stigma & shame",0.3951
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved",0.4582
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved, The media too does not play an active role in discussing these issues.",0.0822
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Social stigma & shame",-0.1092
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Social stigma & shame, Fear of being mocked or disbelieved",-0.077
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases,0.3399
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases, Social stigma & shame",-0.4746
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved",0.3765
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Social stigma & shame,0.4224
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Social stigma & shame, Fear of being mocked or disbelieved",-0.0228
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Disagree,0.0283
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Neutral,0.5997
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Strongly agree,-0.2243
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Strongly disagree,0.3313
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_

 Gender-neutral laws for sexual offences.
",-0.1722
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_
1. Gender-Neutral Laws – Many legal definitions of sexual violence and domestic abuse are framed around female victims. Laws should be gender-neutral to acknowledge that men can also be victims.
2. Improved Reporting and Investigation Procedures – Male survivors often face stigma when reporting crimes. Law enforcement and legal systems should undergo training to handle male victim cases without bias or disbelief.
3. Access to Support Services – Government funding should be allocated to shelters, counseling, and legal aid specifically for male survivors, similar to what exists for female survivors.
4. Stronger Protection Against False Accusations – While false accusations are rare, men accused of crimes like domestic violence or sexual assault often face severe consequences. Legal processes should ensure fair investigations before taking punitive actions
5. Equal Parental Rights in Family Courts – Family courts often favor mothers in custody cases, assuming men are perpetrators rather than victims of domestic abuse. Legal reforms should ensure fair treatment of fathers, especially those who are survivors of abuse.
6. Prison Reform – Male prisoners are at high risk of sexual violence, yet laws protecting them are often weakly enforced. Stronger measures should be in place to prevent and address sexual violence in prisons.
7. Education and Awareness Campaigns – Laws alone aren’t enough. Public campaigns should challenge societal stereotypes that men cannot be victims and encourage male survivors to seek justice without shame.",0.0899
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_**Legal reforms needed to support male survivors (in short):**

1. **Gender-neutral laws** for sexual and domestic violence.
2. **Equal access** to survivor support services.
3. **Trauma-informed training** for police and judiciary.
4. **Confidentiality protections** to reduce stigma.
5. **Extended reporting time** for abuse cases.
6. **Improved prison protections** for male victims.
7. **Fair treatment** in family and custody law.
8. **Awareness campaigns** to challenge bias and encourage reporting.",0.1513
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_.,-0.0121
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_1. Keep survivors names and stories private.
2. Have clear rules for reporting and investigating crimes.
3. Provide help and support for survivors.
4. Make laws stronger to stop abuse and punish offenders.
5. Educate people about the issue.
6. Stop unfair treatment and negative attitudes towards survivors.
",0.1739
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_1. Policy changes 
2. Gender Neutral Laws 
3. Awareness in Law enforcement agencies ",-0.1729
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_1.Access to legal protections and support 
2.confidentiality and privacy protections
3.Reducing social and cultural stigma
4.expanding support services ",-0.2894
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_According to modern period changes,-0.1962
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_All the initially created laws were for the benefit for both men and women. Whatever changes were made by amendments and enactment of new laws that favour for both men and women.,-0.3002
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Assailant should be should be sentenced death penalty ,0.3706
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Awareness and emotional support. ,-0.2044
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Being aware,0.0879
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Better laws for empowering women,0.2027
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Breaking social stigma, social sensitization",-0.2529
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Campaign, programs ",-0.1024
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Can be more efficient towards the situation of that particular individual,0.1878
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Don't know ,-0.1752
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Dont know,0.1123
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Equal law and order should be implement for both men and women against sexual abuse ,0.2241
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Equal laws and rights against sexual abuse for males should be stringent in India. ,0.0734
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender Neutral Anti Abuse Laws,0.1438
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender Neutral Law,0.266
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender inclusive legal definitions,-0.1235
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral justice ,-0.3018
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws,-0.3145
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws , awareness programs etc ",-0.2386
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws can help and proper investigation should be emphasised irrespective of the gender of the victim.,-0.263
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws should be framed and implemented all over the country and campaigns along with initiatives shall be launched to curb incidents like these.,0.0822
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws with equivalent punishments,0.2618
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws, awareness regarding male abuse",-0.1773
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws, social services and awareness programs.",-0.1508
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral sexual abuse laws should be implemented ,-0.1907
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutrality in CJS,0.2438
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Give equal rights to everyone ,0.1206
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Give them ample support and this type of heinous act should be punishable no matter who the victim are be it men or women,0.0794
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Got v less to do with legal reforms. It has more to do with legal practices and judicial attitude towards the victims/survivors,0.2342
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Government funding for shelters, counseling, and victim support should be explicitly available to male survivors.
Laws should mandate that service providers accommodate male victims without stigma or dismissal.",0.2273
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Government funding for survivor services that prioritise both men and women equally ,-0.182
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Government should implement new laws related to the sexual crime, society and media also need to consider male victims as a victim of sexual abuse should not criticize them for that.",0.281
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Helplines and counseling services,0.1316
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_I have no idea ,0.0645
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Implement gender-neutral sexual assault laws, improve reporting mechanisms, and provide specialized support for male survivors.",-0.3367
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Increasing funding for support services,-0.2243
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_India needs gender-neutral sexual assault laws, legal recognition of male victims, dedicated support systems, and stronger enforcement of existing provisions. Expanding POCSO-like protections to adult males and ensuring fair reporting mechanisms without stigma are crucial reforms.",0.1116
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Laws and protection should be given to both the genders equally,-0.3048
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Laws should be gender neutral ,0.1916
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal action ,0.164
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal frameworks should be made gender-neutral for male victims, with confidential reporting and counseling services available to them.
Law enforcement agencies should receive sensitivity training to ensure that men's cases are taken seriously.",0.1002
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal reforms should ensure gender-neutral sexual violence laws, recognizing male survivors equally. Additionally, specialized support services and stronger enforcement against stigma-related barriers are needed.",0.5034
